timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662896426898,107,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-5,text,true,,16998,109,1,2,http://www.ru/,100,0,78
1662896426898,263,HTTPS Request ya.ru,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-5,text,true,,11102,591,1,2,https://ya.ru/showcaptcha?cc=1&mt=838AD43BB5C97DA323960CA28FD283977211322CFB0BF6AF710439288A81900B&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662896427/8e2912cafa035eade26c033e46552bac&u=f2e3de18-aacf1246-2f167d95-94a1732f&s=cf6e115bcf776825c0fed9cbcebf87e4,117,0,81
1662896426898,117,HTTPS Request ya.ru-0,301,Moved permanently,jp@gc - Ultimate Thread Group ya.ru 1-5,,true,,1017,108,1,2,http://ya.ru/,117,0,81
1662896427017,125,HTTPS Request ya.ru-1,302,Moved temporarily,jp@gc - Ultimate Thread Group ya.ru 1-5,,true,,1186,108,1,2,https://ya.ru/,125,0,113
1662896427142,19,HTTPS Request ya.ru-2,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-5,text,true,,8899,375,1,2,https://ya.ru/showcaptcha?cc=1&mt=838AD43BB5C97DA323960CA28FD283977211322CFB0BF6AF710439288A81900B&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662896427/8e2912cafa035eade26c033e46552bac&u=f2e3de18-aacf1246-2f167d95-94a1732f&s=cf6e115bcf776825c0fed9cbcebf87e4,18,0,0
1662896429363,35,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-5,text,true,,16998,109,1,2,http://www.ru/,29,0,9
1662896431859,41,HTTPS Request www.ru,200,OK,jp@gc - Ultimate Thread Group www.ru 2-5,text,true,,16998,109,1,2,http://www.ru/,34,0,9
1662896431852,130,HTTPS Request ya.ru,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-5,text,true,,11103,590,1,2,https://ya.ru/showcaptcha?cc=1&mt=0653B763CCC5B5A8DE2252477F4F4353AF9B4BCD0078DAEB636930F361ED6BA7&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662896431/ad051299f8c1b40829de5971d1a50aa9&u=3d04cb68-4caa5ce-1cc506fe-7f801de3&s=a7bd393aa2772341647bb033670740d6,45,0,10
1662896431852,45,HTTPS Request ya.ru-0,301,Moved permanently,jp@gc - Ultimate Thread Group ya.ru 1-5,,true,,1012,108,1,2,http://ya.ru/,45,0,10
1662896431897,65,HTTPS Request ya.ru-1,302,Moved temporarily,jp@gc - Ultimate Thread Group ya.ru 1-5,,true,,1185,108,1,2,https://ya.ru/,65,0,50
